name,url,tags
Counter-Strike: Global Offensive,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive,"FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,eSports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable"
Dota 2,https://store.steampowered.com/app/570/Dota_2,"Free to Play,MOBA,Multiplayer,Strategy,eSports,Team-Based,Competitive,Action,Online Co-Op,PvP,Difficult,Co-op,RTS,Tower Defense,RPG,Fantasy,Character Customization,Replay Value,Action RPG,Simulation"
Rust,https://store.steampowered.com/app/252490/Rust,"Survival,Crafting,Multiplayer,Open World,Open World Survival Craft,Building,PvP,Sandbox,Adventure,First-Person,Action,Nudity,FPS,Co-op,Shooter,Online Co-Op,Indie,Early Access,Post-apocalyptic,Simulation"
BattleBit Remastered,https://store.steampowered.com/app/671860/BattleBit_Remastered,"FPS,Shooter,Multiplayer,Destruction,Massively Multiplayer,Military,PvP,Action,War,Tactical,First-Person,Team-Based,Combat,Class-Based,Character Customization,Early Access,3D,Voxel,Gun Customization,Indie"
ELDEN RING,https://store.steampowered.com/app/1245620/ELDEN_RING,"Souls-like,Dark Fantasy,RPG,Open World,Difficult,Action RPG,Third Person,Fantasy,Multiplayer,Singleplayer,Online Co-Op,Action,PvP,Co-op,Violent,Atmospheric,Great Soundtrack,3D,Character Customization,Family Friendly"
Baldur's Gate 3,https://store.steampowered.com/app/1086940/Baldurs_Gate_3,"Early Access,RPG,Choices Matter,Character Customization,Story Rich,CRPG,Fantasy,Co-op Campaign,Romance,Class-Based,Dark Fantasy,PvE,Narration,Turn-Based Combat,Stealth,Combat,Crafting,Isometric,Dungeons & Dragons,Team-Based"
Phasmophobia,https://store.steampowered.com/app/739630/Phasmophobia,"Horror,Online Co-Op,Multiplayer,Psychological Horror,Co-op,VR,Supernatural,First-Person,Investigation,Dark,Mystery,Demons,Detective,Early Access,3D,Thriller,Indie,Action,Tactical,Lovecraftian"
Euro Truck Simulator 2,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2,"Driving,Transportation,Simulation,Open World,Automobile Sim,Realistic,Moddable,Relaxing,Immersive Sim,Exploration,Economy,Management,Atmospheric,Multiplayer,Controller,Family Friendly,Third Person,Adventure,Casual,Indie"
DayZ,https://store.steampowered.com/app/221100/DayZ,"Survival,Zombies,Multiplayer,Open World,Action,PvP,Shooter,Massively Multiplayer,Horror,Post-apocalyptic,Simulation,FPS,Early Access,First-Person,Survival Horror,Sandbox,Adventure,Co-op,Atmospheric,Indie"
Hunt: Showdown,https://store.steampowered.com/app/594650/Hunt_Showdown,"Open World,Tactical,Atmospheric,Multiplayer,Perma Death,FPS,Shooter,PvP,Survival Horror,Horror,Difficult,Online Co-Op,Western,Co-op,Battle Royale,Team-Based,Action,Gore,Zombies,First-Person"
Sons Of The Forest,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest,"Survival,Open World,Multiplayer,Survival Horror,Co-op,Base Building,Crafting,First-Person,Horror,Exploration,Adventure,Building,Singleplayer,Atmospheric,Action-Adventure,Sandbox,Action,Simulation,Early Access,Immersive Sim"
SnowRunner,https://store.steampowered.com/app/1465360/SnowRunner,"Simulation,Automobile Sim,Adventure,Exploration,Sandbox,Realistic,Driving,First-Person,Open World,Third Person,Immersive Sim,Multiplayer,Atmospheric,Racing,Snow,Nature,ATV,Physics,PvE,Team-Based"
Deep Rock Galactic,https://store.steampowered.com/app/548430/Deep_Rock_Galactic,"Co-op,PvE,FPS,Exploration,Procedural Generation,Shooter,Loot,Class-Based,First-Person,Sci-fi,Looter Shooter,Action,Space,Atmospheric,Combat,Horror,Survival,Action Roguelike,Dark,Open World"
Raft,https://store.steampowered.com/app/648800/Raft,"Survival,Open World Survival Craft,Multiplayer,Co-op,Crafting,Open World,Building,Base Building,Online Co-Op,Adventure,Sandbox,First-Person,Singleplayer,Early Access,Underwater,Simulation,Action,Indie,Strategy,Massively Multiplayer"
Garry's Mod,https://store.steampowered.com/app/4000/Garrys_Mod,"Sandbox,Multiplayer,Funny,Moddable,Building,Mod,Comedy,Co-op,First-Person,Physics,Simulation,Online Co-Op,FPS,Singleplayer,Action,Animation & Modeling,Shooter,Indie,Massively Multiplayer,Adventure"
Team Fortress 2,https://store.steampowered.com/app/440/Team_Fortress_2,"Free to Play,Hero Shooter,Multiplayer,FPS,Shooter,Action,Class-Based,Team-Based,Funny,First-Person,Online Co-Op,Competitive,Cartoony,Trading,Co-op,Comedy,Robots,Tactical,Cartoon,Crafting"
Hearts of Iron IV,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV,"Strategy,World War II,Grand Strategy,War,Historical,Military,Alternate History,Multiplayer,Simulation,Tactical,Real-Time with Pause,Singleplayer,RTS,Diplomacy,Sandbox,Co-op,Competitive,Strategy RPG,Open World,Action"
Valheim,https://store.steampowered.com/app/892970/Valheim,"Open World Survival Craft,Survival,Online Co-Op,Open World,Multiplayer,Building,Crafting,Exploration,Base Building,Co-op,Sandbox,Adventure,Mythology,RPG,Early Access,Action,PvE,Indie,Singleplayer,Third Person"
Terraria,https://store.steampowered.com/app/105600/Terraria,"Open World Survival Craft,Sandbox,Survival,2D,Multiplayer,Adventure,Pixel Graphics,Crafting,Building,Exploration,Co-op,Open World,Online Co-Op,Indie,Action,RPG,Singleplayer,Replay Value,Platformer,Atmospheric"
Mount & Blade II: Bannerlord,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord,"Medieval,Strategy,Open World,RPG,War,Sandbox,Multiplayer,Singleplayer,Action,Character Customization,Simulation,Moddable,Adventure,Horses,Realistic,Third Person,First-Person,Historical,Great Soundtrack,Early Access"
PAYDAY 2,https://store.steampowered.com/app/218620/PAYDAY_2,"Co-op,Action,FPS,Heist,Looter Shooter,Multiplayer,Online Co-Op,Stealth,Crime,Shooter,Team-Based,First-Person,Great Soundtrack,Gun Customization,Tactical,PvE,Strategy,Singleplayer,Funny,Simulation"
Project Zomboid,https://store.steampowered.com/app/108600/Project_Zomboid,"Survival,Zombies,Open World,Open World Survival Craft,Multiplayer,Sandbox,Post-apocalyptic,Co-op,Crafting,Indie,Simulation,Building,RPG,Survival Horror,Realistic,Isometric,Singleplayer,2D,Early Access,Adventure"
The Outlast Trials,https://store.steampowered.com/app/1304930/The_Outlast_Trials,"Early Access,Survival Horror,Co-op,Horror,Multiplayer,Psychological Horror,First-Person,PvE,Character Customization,Action-Adventure,Action,Stealth,Dark Humor,Alternate History,Survival,Realistic,Atmospheric,Dark,Science,Adventure"
PUBG: BATTLEGROUNDS,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS,"Survival,Shooter,Battle Royale,Multiplayer,FPS,PvP,Third-Person Shooter,Action,Online Co-Op,Tactical,Co-op,First-Person,Strategy,Early Access,Competitive,Third Person,Team-Based,Difficult,Simulation,Stealth"
Arma 3,https://store.steampowered.com/app/107410/Arma_3,"Military,Action,Multiplayer,Simulation,Shooter,Realistic,First-Person,Open World,Tactical,FPS,War,Co-op,Strategy,Sandbox,Singleplayer,Moddable,Combat,Online Co-Op,Team-Based,Third-Person Shooter"
Squad,https://store.steampowered.com/app/393380/Squad,"Military,Realistic,FPS,Multiplayer,Team-Based,Tactical,Shooter,War,First-Person,Action,Massively Multiplayer,Strategy,Modern,Base Building,Simulation,Wargame,Open World,Immersive Sim,Atmospheric,PvP"
DARK SOULS™ III,https://store.steampowered.com/app/374320/DARK_SOULS_III,"Souls-like,Dark Fantasy,Difficult,RPG,Atmospheric,Lore-Rich,Third Person,Exploration,Story Rich,Action RPG,Co-op,Great Soundtrack,Adventure,Action,PvP,Multiplayer,Open World,Singleplayer,Character Customization,Replay Value"
Only Up!,https://store.steampowered.com/app/2381590/Only_Up,"3D Platformer,Parkour,Difficult,Casual,Bullet Time,Adventure,Open World,Third Person,Physics,Story Rich,Exploration,Platformer,Arcade,Psychological Horror,Replay Value,Atmospheric,Roguelike,Simulation,Cinematic,Surreal"
7 Days to Die,https://store.steampowered.com/app/251570/7_Days_to_Die,"Survival,Zombies,Open World,Multiplayer,Open World Survival Craft,Voxel,Post-apocalyptic,Base Building,Online Co-Op,Exploration,Building,Sandbox,Simulation,FPS,Strategy,Character Customization,Tower Defense,Action,Procedural Generation,Early Access"
RimWorld,https://store.steampowered.com/app/294100/RimWorld,"Colony Sim,Base Building,Survival,Strategy,Sandbox,Management,Building,Simulation,Singleplayer,City Builder,Moddable,Open World,Procedural Generation,2D,Sci-fi,Indie,Space,Tactical RPG,Western,Cartoony"
Left 4 Dead 2,https://store.steampowered.com/app/550/Left_4_Dead_2,"Zombies,Co-op,FPS,Multiplayer,Shooter,Online Co-Op,Action,Survival,Horror,First-Person,Gore,Team-Based,Moddable,Survival Horror,Post-apocalyptic,Singleplayer,Adventure,Local Co-Op,Replay Value,Tactical"
